Images,Attraction,Ratings,Description,Latitude,Longitude,Location
https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTll8X-FEPKfZrrbOkCbR9D2ic9ft-qfmzbtEjv8u1bC1Jt_kiUHvMkLsViZIpt0XzuLLLZo2XtRLMmKiGc2nwXOw,Kanheri Caves,4.5,Rock hewn temples with Buddhist shrines,19.2058509,72.9068504,Mumbai
https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTVtcgUnPxQ40bqV2KBAA8lFOzTU_8SsA0c3c-5P9V5NiBln76U3ySMhhENKI40q_Tv1uiNw2C7qZYB11fT1xENHA,Basilica of Our Lady of the Mount Mary,4.7,Historical Catholic church with a feast,19.0465581,72.8224747, Bandra West
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcTefJRvjUmhk3fZSYNr8u8eNB_f12pev99RyeOWTxGx_VgGREUpJ_D3UPJT9lIf461ylshBbkWoK34oXFqLQ5PvVA,Marine Drive,4.6,Waterfront promenade with dining options,18.9432111,72.8229983,Marine Drive
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcRdVC3ux34FEwsU_kROXQdCbTQFzzS9c6QWLXn5Kb6n1QDcLr4D4IyOmp7CCeIrOD6Du8-LUu28EhxxIAbk6JHjFA,Chhatrapati Shivaji maharaj Park,4.5,City green space & home to cricket clubs,19.0268002,72.8382281,Mahim
https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTIX2d3JuE821NqG-dEoPu8pKqMhcn4sZA2B5ut5_lvPL3UDAcLcnBpCYRW2U_-Ge7SKitNTK7L2rIeR1xmZUNFWg,Jehangir Art Gallery,4.5,Modern museum for contemporary art,18.9273983,72.8316856,Fort
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRJpy5wsEcafKHBC1QfCX9BcNRTThZTrFF6zI2zvo4ZH7frHQ0rU97IVSgV4XzdEk1T83KLFtQHR86FbuGc8SBtwQ,Bandra Fort,4.4,Portuguese monument with ocean views,19.0418892,72.8183594, Bandra West
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTGinmhz0Vn7TMSV_l6E6XvZ4bOMiMYvE46e3bKNkn6Yhxx9nVBbLfkapZ5TdTy6LHWT5wmB019nzjVfnY5gUWNKw,Nehru Science Center,4.3,"Science exhibits, seminars & films",18.9918142,72.8207246,Worli
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcTN1k-OTxLNSkobShzpLXsBWtX0n6sMH6c_FhwyTYEEfwVTdcWK4wb-eLaAL85iNHFQrrwygnb_dN84N9016-ruVA,International Society for Krishna Consciousness�� (ISKCON��,4.7,Hare Krishna temple with a restaurant,19.1075424,72.8263142,Juhu
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQGGwYcmgOYuwWERtY3us4_6QpLmfvvZaozARRbeCxEsj68fj11slR-6-5x_SLQx_668Q7f9oJp6PwGIPiECVv9MQ,Babulnath Mandir,4.8,Longtime Hindu temple with sea views,18.9573618,72.8084735,Malabar Hill
https://lh5.googleusercontent.com/p/AF1QipMLyjBPQ2bUOJYaWkzk0Q3SADJKrc5w1RF6IVAt=w464-h260-n-k-no-v1,KidZania Mumbai,4.4,Real-world role play for kids,19.099795,72.916822,Ghatkopar
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcT3tFREhatAeWeWBpHr5a0WvbiWK1MiYO5UMEkh3Q3e3bmFQbVzclKJZ4xrGtx691h559hpXosGWL8pVzPT0d85vg,Colaba Causeway,4.4,Culture & shopping hub built in 1838,18.9246447,72.8321315,Colaba
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcTT9tya1dAno_XLXY0lTnPebspy-vsXcdfN-ae1Alwrrx2z8liG2AV98v0BF6EwXWJkPQag9Jia4XUEJWKhFZAzYA,Water Kingdom,4.3,Water park with rides for all ages,19.2314895,72.8075257,Borivali
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRoAwHMNwpFmIZK_GRuZiXVmwaC9u9eXmgLAXrG98rFUV6uihG3PCoL4LN_lGIBXOY066B_JJ1g7aRrzWAaw9TCiw,Dadasaheb Phalke Chitranagari,4.1,Studio complex with film set tours,19.1607917,72.8876055,Goregaon
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTazwbt5fBio3YoOEG21-1DvvqiEyzrT0byJAPDK7hOQRfcjeeoUYSYYShGz5dk7TgPX9_CCUYMhTsRTnwcf_Bjvg,Girgaon Chowpatty,4.3,Humble beach with an annual celebration,18.9518622,72.8165592,Girgaon Chowpatty
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcTa2wNa6sag2_w5RX1OZSV-TxTFJpfyX-OtlRYpDTrb7yw6adSjuqBpAI0VPG6DB-zW_3XxKeGFfxVA9z2WBCBzvQ,Red Carpet Wax Museum,4.6,Dozens of celebrities made out of wax,19.100097,72.915849,Ghatkopar
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQgG_GvvVf3MK9B0_4w10FkU4yqgATvy1Kh-pq1FdQL01jypjxM_YhQBJdL6su3doIFHzLlurAFay6-dHpqDyHOIQ,Flora Fountain,4.5,Historical landmark & goddess sculpture,18.9324727,72.8315176,Fort
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRcHdf3yD9-1IrBCDBy49fibirzO1fegDHmIum72eVPjUtsnqKTi5YtM2y9n9HxkVuSsEgwthTfxNvK6Vn3_Q9J4A,Mumbadevi Temple,4.7,Shrine to Mumbai city's patron goddess,18.9520952,72.83093,Kalbadevi
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSJ4EmHjQkOIsiBqXD1xNnpAfbywq_ZLygD8_-fJP1Ei15ufQHK4AJuXQL7l8yCv8FbaKA_ZjOvG_cl7feBU2kVwg,Powai Lake,4.3,Artificial lake with boating & fishing,19.1272655,72.9048498,Powai
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRcKaN_wxqF1odqzoy223u8KT9hAAtyBe-RiOiWijAY-Mwe9KPSIeZpyp1EEsK3OyvQjzQru39oDCapfcqJkNJZNA,Priyadarshini Park,4.5,Relaxed park for sports & sea views,18.9570666,72.7989051,Malabar Hill
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRlstlXKN317AkNRV0Q_OEW6QznpGClriXpKo6HdmHQ54MNzXhDZCQe5BJZViu2CqinDzrMozOb7_GjX_a30EYtCg,Kamala Nehru Park,4.3,Nursery rhyme���themed exhibits &,18.9550248,72.8049726,Malabar Hill
https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTyFlbYjd6VIoQobnTvaYGY3pjRhbY5K8jAWeXNkWYn7en3ds6qT2KJS8dTh1Co5_llBfi3aan_uR0MqECpvvGBFg,Dr. Bhau Daji Lad Museum,4.4,Longtime museum for cultural treasures,18.9789889,72.8348153,Byculla
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcS_-3GA8qdrwTDLTbs60ldxjxuTlrrSCRxB7ykZQRiejViB-sGFvPhvNqJ5JgD2M6Fw_EkQBI4NO5XnzCIMrDXfoQ,Nehru planetarium,4.4,Facility for astronomy shows & events,28.6037965,77.1980923, New Delhi
https://lh5.googleusercontent.com/p/AF1QipNddNEwq-a4cG2zz8m6cWVxARrBvijuMLgtBB-H=w464-h260-n-k-no-v1,National Gallery of Modern Art,4.4,Major museum with a global collection,28.6101926,77.2344179, New Delhi
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcTDj27zXY0dAN3OQz1hCI4zR6E-rLRcMzUX52lvsM0AHzPDcZvP_i1ti3XcQ2IcMzSCyL0zEDCfPgXzI-QTTUfr8w,Aksa Beach,4.3,Busy hub with sunset views & food stalls,19.1759612,72.7953513,Aksa Beach
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRGiVhw7x_lb2NHzGJFzf0C25H_Pgb0I1MrLg9hIUkeJDxsxKuNIzfz44KFHMaWdF6rclsZFY6_sJfe_yL3xI4EIw,Colaba Causeway Market,4.2,Market stalls for souvenirs & fashions,18.9172018,72.8286193,Colaba
https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSmVrba_1xHxinHfH6WnAf6E537jhiQociplojCaVN1trr2IpZVUrR244nL3XjivXKhXx_h7lx8WjEWrXJ8OfqAOQ,HIGH COURT OF BOMBAY,4.5,Gothic-style building from the 1800s,18.9309879,72.8303287,Fort
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzowbHANRJBKRh0KhXwTCymxCs7F1md_9dX3JTjH2cM_L0fP0Z4RFyfDehI2r9mfGjGsNFLhzDS-LIfyIUKPrilg,Mani Bhavan Gandhi Sangrahalaya,4.5,Museum & library dedicated to Gandhi,18.959908,72.8115031,Gamdevi
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQXSu5fVRp-i1JTlZ8zjBdvz1E2oLesSyG22xIz9zy-iIWAEimyVXoTQlkO2kCiBoodegB1tWpM4FHOnZovaCPLOw,Versova Beach,4.1,Urban getaway for walks & swimming,19.1246969,72.8170328, Andheri
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQJb004A-RvEkAPgHm6Jt7Icxf_Kw0LJBVwHUyI-asGIB35tL0bKTsnt4UOWBTAFb9W22HpKCh1mKlM5OBCrd4IXg,Vasai Fort,4.3,Fortress ruins with arches & facades,19.330538,72.8155814,Vasai 
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcTpPljWfn_WigrpBv95G4V-sJdDxbfVJB9az82VNvet2HFuM_lQUbHhXnSGRqpK2YgNUybMpUPpO2aLh22F0pp4MQ,Gorai Beach,4.2,Lively sand beach & picnic spot,19.2419548,72.7808269,Gorai Beach
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcS8ePZ45n-XvCVFgjobI7fquzB7CQHYz52W7A393JxgKL0QUz-eLzMlkT5ATkoDtX8g5nv6slxoJDx0O94crU9F7g,ISKCON Chowpatty (Sri Sri Radha Gopinath Mandir),4.8,Hare Krishna center with a garden,18.9576799,72.8097855,Malabar Hill
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQLblMVe1XzSuCcWAk2Yk7HEAjP6C2jIzh1Ldb5rWiaCCYV8Mbn8q059fh3dQTzALeglPN2qkAZJfYJOLkQRQxKdg,Rajabai Clock Tower,4.6,Elegant structure inspired by Big Ben,18.9297669,72.830083,Fort
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcQJU57eQDQ4-vyR7H8YD2DPkod1A70TDPekh7IaYhV8KZ6RPDRAK2LjoAGGzzPX-y1KQ1GZ4bVZyEEGRSzMgzAtvA,Manori Beach,4.3,Beach,19.2098721,72.7808102,Manori Beach
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSmm0fBT6n64XTqHzAPN3qaeWaQ3bQsQHxRgC9jm2aiQK3OQvCECNlg9JticFESRjiAK2kHVciSzVbKBBqvE_K0Yw,Juhu Beach,4.2,Beach,19.1075424,72.8263142,Juhu
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcQw8vsZUJQkHpIIY0nDD-zxUDo-ANZW-ZemO2-AK67Le1Jeuz_QOhrVaiwazRoobAO4Bb8vwWRJ3ZJgsNtSHHIZ_A,Veermata Jijabai Bhosale Udyan And Zoo,3.8,Zoo with a botanical garden & playground,18.97871,72.8351211,Byculla
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRIgNE7r0MBTcvvxGNffFStz3bDMPfK9xjpJAkeXg5e6ftWcxIGVU2xrvaTATjkcteoSqFR-13Mho0lWTk-FEqqCw,Mahalakshmi Race Course,4.5,Longtime horse track & event stadium,18.9842089,72.8200753, Mahalakshmi
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRE3On_3R0EbAhLiu_sbvIKG_B8nJ1OvWdH8GptwDK3I0GHPbOy-50bkhPw_4lsnqy9MILiFONu6r7owEl2pSFFcQ,Banganga Tank,4.3,12th-century reservoir with spring water,18.9454723,72.7936432,Malabar Hill
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcTbTxg4Cq8n_ln-TcyepjweCP2qQ0zOzhLbu5BDEgc9D4qtQUV82te0OZrsw47D3tu_JswbtAAFpN4V8zPjDVNmRg,"St. Michael's Church, Mahim",4.7,Catholic church originally built in 1534,19.0427807,72.8407732,Mahim
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcTI60e3a4MDei7-66mKW2dWvx2elj_UcD4ETnSxC3ERU6pCVlhnqZqGkuiZhsPMcLoqfzOzgDc14EO7iYV1gWYzdg,Mahakali Caves,4,Ancient stone caves & monastery,19.1300798,72.8731738,Andheri
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQUcAv4Y0VWmZ54VOx_uum66khFssjdy8zisJ7vZiO3n-hp7-XWGcE3GNtv4yvIRpRd2dahKP8zKLoNXXtZBB64CA,Horniman Circle Garden,4.3,Historic city-center green space,18.93197,72.8350343,Fort
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcT7Szcwo-sIQipDVv0rSggQGZ2WgQIzrjIfZLs3_Vf7ApgAsFCXED_mBBN4H6WmLBp_C3vdelTUqLYbCOookjo8Dg,Oval Maidan,4.4,Large grassy park with sports facilities,18.9296227,72.8288877, Churchgate
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcQvojFJ0C2tgIY6ndv9lixhf4y3H2hMJxGNJfzaNTKoO2Afjept9lAbewGhtibHIIb0wBKp3XWu9jipTMkQY_ROoQ,Radisson Hotel Mumbai Andheri MIDC,4.4,Relaxed hotel with dining & a pool,19.1176369,72.8648203,Andheri
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcRVO0zbPGWv2eGjUdoyYMujQ0HwdaYiNQhkRAd_EaE92CJD7oSCxtqx7RdowxR1zP6KYL198oPBYYkpIC9C9e4Xrw,RBI Monetary Museum,4.5,Exhibits & artifacts on history of money,18.9338333,72.8360852,Fort
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcRdg37VCE5vQubvrZvZg1jKrBWGQ2B1XBucIRaHoz4qsmteOfVROVIACEw7kan6xBegCIaKs2kIxg6CGYH6IPW9OQ,"St. Thomas��� Cathedral, ",4.5,"Grand, historical Anglican cathedral",18.9319003,72.8336849,Fort
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcRRKpHAKl8oWwWsNc-Nxc1Tg0WSLns1iLurpy_z4rCb6HEH3oCEL6uLYJmykVxPMS6I0jMxT646uyKjtPjYdKBQ-Q,Jogeshwari Caves,4.4,1st century Hindu & Buddhist temples,19.1389389,72.8571368, Jogeshwari
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcT5dCABEZLgyR7yj-vUiDxirlGYTr2Oetl48rL2r98o3A1097iz1L4p8aBRPjbPIBzVKVvzZ2frX7vNASv-ID9Weg,Sewri Mangrove Park,4,Seasonal habitat for flamingoes,18.9955741,72.8616328, Sewri
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcQ5EeP4gp2NuVaw7Y8gWNRyJomDwzdCF7pnliROqhELAnLqk_wFBbLz4P2o0jaEyCfpBtzMDpGpppSrgWagOgd5LA,Maharashtra Nature Park,4.2,Green space with trails & wildlife,19.0522583,72.8627641,Mahim
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcTcAKT_I2SDQqmumh_MezPOZS5RwAnwCwzA2XIxDikGvTTwK2zIUxTMTejzFE6xJSx31JqvkC3B37hxNBvl1osnMg,Mangaldas Market,4.1,Vast marketplace for fabrics & more,18.94814,72.8316813,Kalbadevi
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRO168zJsyfcjXvT76SIy4-5aByq7mtuv2t3Bse3NiNvmWFg0-4faCW6S17g2vJzFeALZp5ilB4AsfPMbZ1Azm5bQ,Worli Fort,4.2,Landmark 17th-century British fortress,19.0237125,72.8168,Fort
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcSKXD3e51Z6IWip-3Bnb1hoGxXAfH8komY357THuIvS3pvtzW0MVDvD8Ym3owJBu_sMG_Cy3IlNKvvfOuC6Mj1avg,Suraj Water Park,3.8,"Water slides, pools & other classic fun",19.254564,72.9706659, Thane
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQOfJffwUcS_NOWCzRCZ0MtVjk4P4I36861qhttk3mJos00YNMptyhusuMWyjp6cYzJ0eEoxZUr5VQ2HPtjmvX6QA,Cathedral of the Holy Name,4.7,"Cathedral, architecture, church and history",18.9233592,72.8306699,Colaba
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcRtiiJYxoWMrVaYttKhwnKFqQQnjmj7mWMGROjug8yM7Hfudd5iKCghEIWzc4mLkGMYKoodbFzOYw8Q5bsNsBQ2Vw,"National Centre for Performing Arts (NCPA), Mumbai",4.8,"Theatre, performing arts, auditorium, concert and architecture",18.9251857,72.8197362, Nariman Point
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQ4OAj7ykatk20x-ozk7PdVQzgBpB5JvkMuBoq-Y5zHK_mLoTUlBflkBKTehPRjsukK8gxUTtAfsD03lvOnkLixbA,Sri Walkeshwar Temple,4.4,Snug Hindu temple with annual festivals,18.9456144,72.7931926,Malabar Hill
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcT_cBtDdXxvucts07xYFQPXKjBTrKf_tYnWqEMUhepVFhcRa0n5vU8XkfwcYEKvA_do2oiqtfgBo5wkdLdfeYgg5w,Bollywood Tours,3.8,Hindi cinema,18.938072,72.836028,Fort
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcRThZHj4kfH9P9--lQ3-oeZPbsKNK5nQ3DxySflPodUxcvRKm4y53d5mR43BYLvVZ7m5QangeKBgOSSBeEwc4IYtA,Afghan Church Official,4.4,Historical Anglican church & memorial,18.906491,72.816388,Colaba
https://lh5.googleusercontent.com/p/AF1QipOixk8IXkXVlNt7GheptTFCLpHtfB_TBFBstP9B=w464-h260-n-k-no-v1,ArtZolo.com Art Gallery,4.9,"Painting, folk art, landscape painting, sculpture and handicraft",19.1137357,72.8936526,Powai
https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTqm95N-DTY7URkyPLdS4AuhmodWKAMnSUe9oVQEWPfpZwxRgikRPp_6xBFbP-ZTU0adRpd6O4I4BvgNkGd6xJxpA,Elephanta Island,4.4,Ancient cave temples & ferry access,18.9608385,72.9312921,"Elephanta Island, Navi Mumbai"
https://lh5.googleusercontent.com/p/AF1QipOkmgunj0Cf20Qm0uXDDWLYXuHe_95Uw3RFqAFg=w464-h260-n-k-no-v1,Chemould Prescott Road,4.5,Established venue with imaginative works,18.9353394,72.8322054,Fort
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcS-sdfdeY49W84ylXlg_f9F6cCxqOwB0s7OPVa39WMBgbQaOt6rIPIPx0QF0NaJTKu7YLTmm2uOjl1Z7maMk0sC1w,Wonders Park,4.2,Park with replicas of the 7 wonders,19.0254616,73.0258344, Nerul
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcQBQjjSKQNaUPWW5A0RFithRfbWVJ-QYef4Tjq39Se2d_8LnmLfENGpxhpkvDg2673EbL7FTd11siYbVpyKPWJYdA,Tikuji-ni-Wadi,3.9,Water park with classic rides & food,19.2379799,72.9668788,Thane
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRvgzqnuasRobSB6qhqwhpJZxRt7QVsEVxvMhad9MEWbnEzb7yxqwYQVWMCKhOHH8iIOmsoscdqcomWFagbtexKoQ,Mandapeshwar Caves,4.2,8th-century rock-cut Hindu shrine,19.2450396,72.8536315,Borivali
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcS6iDOGWFrMHaVJjiF_t7VBNQEnao8zr0RoGceXKHFIDq4JyvnHqA7Xx16Jd9T_O9fvxgdv5yUo8w5Bdic24egh7w,Keneseth Eliyahoo Synagogue,4.5,"Synagogue, judaism and architecture",18.9281033,72.8325519,Fort
